STEREO, STEREO REPAIR
STORM, STORM CLEANUP
STP, STP
STR, STRETCHERS
STROH, STRETCHERS OH
SYLVIACARE, SYLVIA CARE
SYLVIAED, SYLVIA ED
TALLUCARE, TALLULAH CARE
TAX, TAXES
TEACH, TEACHING CREDITS
TEMP, TEMPEH
TF, TOFU PRODUCTION
TMARK, TOFU MARKETING
TMOVE, TOFU MOVE
TOFUBOD, BODY CARE FOR TOFU WORKERS
TOFUOH, TOFU OVERHEAD
TOUR, SATURDAY TOUR
TRANS, TRANSITION
TRUS, TRUSTERTY
TSERF, TUPE SERF
TWELL, TOFU WELL
UNI, UNICORNS
UPTOFU, TOFU UPGRADES
VID, VIDEO
VIZCOR, VIZ CORRESPONDENCE
VUSE, VEHICLE USE
WELD, WELDING
WHSE, WAREHOUSE
WILLEMINACARE, WILLEMINACARE
WOMGATH, WOMEN'S GATHERING
WOODDEL, WOOD DELIVERY
WSHOP, WOODSHOP
WWATER, TOFU WASTEWATER
XENACARE, XENA CARE
ZADEKCARE, ZADEK CARE
ZADEKED, ZADEK EDU
ZK CLEAN, ZK CLEAN
